State,Site_Name,Category,Year_Built,Visitors_Per_Year,Popularity,Best_Month_To_Visit,UNESCO_World_Heritage,District,Nearest_City,Latitude,Longitude,Entry_Fee_INR,Description,Festival,Famous_Art,Art_Description
Karnataka,Mysore Palace,Temple,1497,683179,Medium,August to October,Yes,Mysuru,Mysuru,12.3052,76.6552,470,A cultural landmark with centuries-old heritage.,Dasara,Mysore Painting,Classical South Indian painting known for elegance and attention to detail.
Delhi,Qutub Minar,Museum,1743,1905108,High,February to April,Yes,New Delhi,Delhi,28.5244,77.1855,292,A popular tourist destination and UNESCO site.,Republic Day,Zardozi Embroidery,"Royal embroidery with gold and silver threads, pearls, and stones."
Tamil Nadu,Brihadeeswarar Temple,Fort,664,158793,Medium,June to August,Yes,Chennai,Chennai,10.7828,79.1316,427,A popular tourist destination and UNESCO site.,Pongal,Tanjore Painting,"Richly colored paintings with gold foil, known for religious themes."
Tamil Nadu,Brihadeeswarar Temple,Fort,716,747853,Medium,September to November,No,Chennai,Chennai,10.7828,79.1316,100,A popular tourist destination and UNESCO site.,Pongal,Tanjore Painting,"Richly colored paintings with gold foil, known for religious themes."
Maharashtra,Ajanta Caves,Temple,885,471340,Medium,May to July,Yes,Mumbai,Mumbai,20.5526,75.7033,102,A historic site known for its architectural beauty.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
Delhi,Qutub Minar,Museum,568,1652354,High,March to May,Yes,New Delhi,Delhi,28.5244,77.1855,81,An ancient structure that reflects traditional craftsmanship.,Republic Day,Zardozi Embroidery,"Royal embroidery with gold and silver threads, pearls, and stones."
Maharashtra,Ajanta Caves,Temple,885,471340,Medium,May to July,Yes,Mumbai,Mumbai,20.5526,75.7033,102,A historic site known for its architectural beauty.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
Madhya Pradesh,Gwalior Fort,Temple,1815,1999664,High,July to September,No,Gwalior,Gwalior,26.215,78.193,212,A cultural landmark with centuries-old heritage.,Khajuraho Dance Festival,Gond Art,Folk art using dots and lines to create vibrant nature-inspired visuals.
Maharashtra,Ajanta Caves,Fort,1829,1218827,High,July to September,Yes,Mumbai,Mumbai,20.5526,75.7033,248,A historic site known for its architectural beauty.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
Gujarat,Rani ki Vav,Monument,1834,471488,Medium,May to July,No,Ahmedabad,Ahmedabad,23.8594,72.1343,395,A cultural landmark with centuries-old heritage.,Navratri,Rogan Art,"Painted with castor oil-based paste, typically on fabric, from Kutch region."
West Bengal,Victoria Memorial,Temple,819,397543,Medium,July to September,Yes,Kolkata,Kolkata,22.5448,88.3426,242,A cultural landmark with centuries-old heritage.,Durga Puja,Kalighat Painting,"Bold, expressive paintings originated in 19th-century Kolkata."
Maharashtra,Ajanta Caves,Museum,871,1523933,High,December to February,Yes,Mumbai,Mumbai,20.5526,75.7033,236,A popular tourist destination and UNESCO site.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
Rajasthan,Amber Fort,Museum,741,663644,Medium,November to January,Yes,Jaipur,Jaipur,26.9855,75.85,218,A historic site known for its architectural beauty.,Pushkar Camel Fair,Pichwai Painting,"Intricate paintings depicting tales of Lord Krishna, usually on cloth."
Delhi,Qutub Minar,Museum,1743,1905108,High,February to April,Yes,New Delhi,Delhi,28.5244,77.1855,292,A popular tourist destination and UNESCO site.,Republic Day,Zardozi Embroidery,"Royal embroidery with gold and silver threads, pearls, and stones."
Tamil Nadu,Brihadeeswarar Temple,Museum,1612,1560742,High,October to December,Yes,Chennai,Chennai,10.7828,79.1316,86,Famous for its intricate carvings and historical relevance.,Pongal,Tanjore Painting,"Richly colored paintings with gold foil, known for religious themes."
Tamil Nadu,Brihadeeswarar Temple,Museum,713,52228,Low,August to October,No,Chennai,Chennai,10.7828,79.1316,420,A cultural landmark with centuries-old heritage.,Pongal,Tanjore Painting,"Richly colored paintings with gold foil, known for religious themes."
Odisha,Konark Sun Temple,Museum,1167,992974,Medium,July to September,No,Bhubaneswar,Bhubaneswar,19.8876,86.0945,95,A popular tourist destination and UNESCO site.,Rath Yatra,Pattachitra,Traditional scroll painting on cloth depicting Hindu mythology.
Maharashtra,Ajanta Caves,Fort,1434,549063,Medium,October to December,No,Mumbai,Mumbai,20.5526,75.7033,107,A popular tourist destination and UNESCO site.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
Maharashtra,Ajanta Caves,Monument,824,1792723,High,August to October,Yes,Mumbai,Mumbai,20.5526,75.7033,480,A historic site known for its architectural beauty.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
Tamil Nadu,Brihadeeswarar Temple,Fort,716,747853,Medium,September to November,No,Chennai,Chennai,10.7828,79.1316,100,A popular tourist destination and UNESCO site.,Pongal,Tanjore Painting,"Richly colored paintings with gold foil, known for religious themes."
Gujarat,Rani ki Vav,Fort,1611,1826214,High,September to November,Yes,Ahmedabad,Ahmedabad,23.8594,72.1343,46,A historic site known for its architectural beauty.,Navratri,Rogan Art,"Painted with castor oil-based paste, typically on fabric, from Kutch region."
Uttar Pradesh,Taj Mahal,Temple,1815,1483143,High,May to July,No,Agra,Agra,27.1751,78.0421,199,A historic site known for its architectural beauty.,Diwali,Chikankari Embroidery,Delicate hand embroidery from Lucknow on fine fabrics.
Tamil Nadu,Brihadeeswarar Temple,Monument,1468,529174,Medium,November to January,Yes,Chennai,Chennai,10.7828,79.1316,30,Famous for its intricate carvings and historical relevance.,Pongal,Tanjore Painting,"Richly colored paintings with gold foil, known for religious themes."
Delhi,Qutub Minar,Temple,975,727974,Medium,March to May,Yes,New Delhi,Delhi,28.5244,77.1855,375,Famous for its intricate carvings and historical relevance.,Republic Day,Zardozi Embroidery,"Royal embroidery with gold and silver threads, pearls, and stones."
West Bengal,Victoria Memorial,Fort,1561,991689,Medium,September to November,No,Kolkata,Kolkata,22.5448,88.3426,180,A popular tourist destination and UNESCO site.,Durga Puja,Kalighat Painting,"Bold, expressive paintings originated in 19th-century Kolkata."
Karnataka,Mysore Palace,Museum,798,1735786,High,February to April,No,Mysuru,Mysuru,12.3052,76.6552,58,Famous for its intricate carvings and historical relevance.,Dasara,Mysore Painting,Classical South Indian painting known for elegance and attention to detail.
Maharashtra,Ajanta Caves,Temple,1697,244372,Medium,May to July,Yes,Mumbai,Mumbai,20.5526,75.7033,56,An ancient structure that reflects traditional craftsmanship.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
Tamil Nadu,Brihadeeswarar Temple,Temple,781,590231,Medium,April to June,No,Chennai,Chennai,10.7828,79.1316,354,A cultural landmark with centuries-old heritage.,Pongal,Tanjore Painting,"Richly colored paintings with gold foil, known for religious themes."
Karnataka,Mysore Palace,Monument,1113,1845260,High,June to August,Yes,Mysuru,Mysuru,12.3052,76.6552,63,An ancient structure that reflects traditional craftsmanship.,Dasara,Mysore Painting,Classical South Indian painting known for elegance and attention to detail.
Delhi,Qutub Minar,Museum,568,1652354,High,March to May,Yes,New Delhi,Delhi,28.5244,77.1855,81,An ancient structure that reflects traditional craftsmanship.,Republic Day,Zardozi Embroidery,"Royal embroidery with gold and silver threads, pearls, and stones."
Uttar Pradesh,Taj Mahal,Fort,1189,1787899,High,May to July,Yes,Agra,Agra,27.1751,78.0421,268,A cultural landmark with centuries-old heritage.,Diwali,Chikankari Embroidery,Delicate hand embroidery from Lucknow on fine fabrics.
Tamil Nadu,Brihadeeswarar Temple,Fort,514,982460,Medium,January to March,No,Chennai,Chennai,10.7828,79.1316,459,A historic site known for its architectural beauty.,Pongal,Tanjore Painting,"Richly colored paintings with gold foil, known for religious themes."
Delhi,Qutub Minar,Temple,1335,537898,Medium,September to November,Yes,New Delhi,Delhi,28.5244,77.1855,486,A popular tourist destination and UNESCO site.,Republic Day,Zardozi Embroidery,"Royal embroidery with gold and silver threads, pearls, and stones."
Maharashtra,Ajanta Caves,Temple,1476,868960,Medium,March to May,Yes,Mumbai,Mumbai,20.5526,75.7033,458,Famous for its intricate carvings and historical relevance.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
Odisha,Konark Sun Temple,Fort,864,554621,Medium,October to December,No,Bhubaneswar,Bhubaneswar,19.8876,86.0945,325,A historic site known for its architectural beauty.,Rath Yatra,Pattachitra,Traditional scroll painting on cloth depicting Hindu mythology.
West Bengal,Victoria Memorial,Temple,819,397543,Medium,July to September,Yes,Kolkata,Kolkata,22.5448,88.3426,242,A cultural landmark with centuries-old heritage.,Durga Puja,Kalighat Painting,"Bold, expressive paintings originated in 19th-century Kolkata."
Madhya Pradesh,Gwalior Fort,Museum,1814,1629448,High,August to October,Yes,Gwalior,Gwalior,26.215,78.193,219,A cultural landmark with centuries-old heritage.,Khajuraho Dance Festival,Gond Art,Folk art using dots and lines to create vibrant nature-inspired visuals.
Delhi,Qutub Minar,Temple,1703,1622115,High,December to February,Yes,New Delhi,Delhi,28.5244,77.1855,465,A popular tourist destination and UNESCO site.,Republic Day,Zardozi Embroidery,"Royal embroidery with gold and silver threads, pearls, and stones."
Rajasthan,Amber Fort,Museum,741,663644,Medium,November to January,Yes,Jaipur,Jaipur,26.9855,75.85,218,A historic site known for its architectural beauty.,Pushkar Camel Fair,Pichwai Painting,"Intricate paintings depicting tales of Lord Krishna, usually on cloth."
Rajasthan,Amber Fort,Fort,1413,1981442,High,May to July,No,Jaipur,Jaipur,26.9855,75.85,114,An ancient structure that reflects traditional craftsmanship.,Pushkar Camel Fair,Pichwai Painting,"Intricate paintings depicting tales of Lord Krishna, usually on cloth."
Maharashtra,Ajanta Caves,Museum,849,1934651,High,August to October,Yes,Mumbai,Mumbai,20.5526,75.7033,340,A historic site known for its architectural beauty.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
Maharashtra,Ajanta Caves,Temple,1840,1385067,High,October to December,Yes,Mumbai,Mumbai,20.5526,75.7033,219,A popular tourist destination and UNESCO site.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
Uttar Pradesh,Taj Mahal,Fort,1668,1367066,High,March to May,No,Agra,Agra,27.1751,78.0421,476,A cultural landmark with centuries-old heritage.,Diwali,Chikankari Embroidery,Delicate hand embroidery from Lucknow on fine fabrics.
West Bengal,Victoria Memorial,Museum,1309,1389407,High,June to August,No,Kolkata,Kolkata,22.5448,88.3426,274,Famous for its intricate carvings and historical relevance.,Durga Puja,Kalighat Painting,"Bold, expressive paintings originated in 19th-century Kolkata."
Delhi,Qutub Minar,Temple,1770,1864513,High,September to November,Yes,New Delhi,Delhi,28.5244,77.1855,469,A cultural landmark with centuries-old heritage.,Republic Day,Zardozi Embroidery,"Royal embroidery with gold and silver threads, pearls, and stones."
West Bengal,Victoria Memorial,Museum,586,160743,Medium,September to November,Yes,Kolkata,Kolkata,22.5448,88.3426,455,A popular tourist destination and UNESCO site.,Durga Puja,Kalighat Painting,"Bold, expressive paintings originated in 19th-century Kolkata."
Rajasthan,Amber Fort,Fort,1498,1886492,High,August to October,No,Jaipur,Jaipur,26.9855,75.85,210,Famous for its intricate carvings and historical relevance.,Pushkar Camel Fair,Pichwai Painting,"Intricate paintings depicting tales of Lord Krishna, usually on cloth."
Karnataka,Mysore Palace,Temple,1935,828770,Medium,July to September,Yes,Mysuru,Mysuru,12.3052,76.6552,39,An ancient structure that reflects traditional craftsmanship.,Dasara,Mysore Painting,Classical South Indian painting known for elegance and attention to detail.
Maharashtra,Ajanta Caves,Monument,1725,1528228,High,March to May,Yes,Mumbai,Mumbai,20.5526,75.7033,98,A historic site known for its architectural beauty.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
Gujarat,Rani ki Vav,Fort,701,647818,Medium,November to January,Yes,Ahmedabad,Ahmedabad,23.8594,72.1343,95,An ancient structure that reflects traditional craftsmanship.,Navratri,Rogan Art,"Painted with castor oil-based paste, typically on fabric, from Kutch region."
Odisha,Konark Sun Temple,Temple,1591,989051,Medium,October to December,No,Bhubaneswar,Bhubaneswar,19.8876,86.0945,305,A historic site known for its architectural beauty.,Rath Yatra,Pattachitra,Traditional scroll painting on cloth depicting Hindu mythology.
Uttar Pradesh,Taj Mahal,Fort,1037,1979096,High,November to January,No,Agra,Agra,27.1751,78.0421,37,A cultural landmark with centuries-old heritage.,Diwali,Chikankari Embroidery,Delicate hand embroidery from Lucknow on fine fabrics.
Karnataka,Mysore Palace,Temple,1483,1586489,High,April to June,Yes,Mysuru,Mysuru,12.3052,76.6552,216,Famous for its intricate carvings and historical relevance.,Dasara,Mysore Painting,Classical South Indian painting known for elegance and attention to detail.
Maharashtra,Ajanta Caves,Temple,1112,631951,Medium,February to April,Yes,Mumbai,Mumbai,20.5526,75.7033,37,A cultural landmark with centuries-old heritage.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
Odisha,Konark Sun Temple,Monument,806,771626,Medium,March to May,Yes,Bhubaneswar,Bhubaneswar,19.8876,86.0945,398,A historic site known for its architectural beauty.,Rath Yatra,Pattachitra,Traditional scroll painting on cloth depicting Hindu mythology.
Karnataka,Mysore Palace,Monument,1122,222640,Medium,September to November,Yes,Mysuru,Mysuru,12.3052,76.6552,19,A popular tourist destination and UNESCO site.,Dasara,Mysore Painting,Classical South Indian painting known for elegance and attention to detail.
Maharashtra,Ajanta Caves,Temple,1112,631951,Medium,February to April,Yes,Mumbai,Mumbai,20.5526,75.7033,37,A cultural landmark with centuries-old heritage.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
Rajasthan,Amber Fort,Monument,1353,1092175,High,February to April,Yes,Jaipur,Jaipur,26.9855,75.85,448,A popular tourist destination and UNESCO site.,Pushkar Camel Fair,Pichwai Painting,"Intricate paintings depicting tales of Lord Krishna, usually on cloth."
Maharashtra,Ajanta Caves,Fort,1280,1930822,High,December to February,Yes,Mumbai,Mumbai,20.5526,75.7033,17,A historic site known for its architectural beauty.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
Karnataka,Mysore Palace,Temple,1483,1586489,High,April to June,Yes,Mysuru,Mysuru,12.3052,76.6552,216,Famous for its intricate carvings and historical relevance.,Dasara,Mysore Painting,Classical South Indian painting known for elegance and attention to detail.
Rajasthan,Amber Fort,Fort,1368,1362329,High,July to September,Yes,Jaipur,Jaipur,26.9855,75.85,162,A popular tourist destination and UNESCO site.,Pushkar Camel Fair,Pichwai Painting,"Intricate paintings depicting tales of Lord Krishna, usually on cloth."
Gujarat,Rani ki Vav,Monument,1834,471488,Medium,May to July,No,Ahmedabad,Ahmedabad,23.8594,72.1343,395,A cultural landmark with centuries-old heritage.,Navratri,Rogan Art,"Painted with castor oil-based paste, typically on fabric, from Kutch region."
Madhya Pradesh,Gwalior Fort,Museum,858,441211,Medium,October to December,No,Gwalior,Gwalior,26.215,78.193,57,A cultural landmark with centuries-old heritage.,Khajuraho Dance Festival,Gond Art,Folk art using dots and lines to create vibrant nature-inspired visuals.
Delhi,Qutub Minar,Monument,1004,1894618,High,June to August,Yes,New Delhi,Delhi,28.5244,77.1855,340,An ancient structure that reflects traditional craftsmanship.,Republic Day,Zardozi Embroidery,"Royal embroidery with gold and silver threads, pearls, and stones."
Tamil Nadu,Brihadeeswarar Temple,Fort,670,1390067,High,August to October,Yes,Chennai,Chennai,10.7828,79.1316,316,A cultural landmark with centuries-old heritage.,Pongal,Tanjore Painting,"Richly colored paintings with gold foil, known for religious themes."
Maharashtra,Ajanta Caves,Temple,873,1507770,High,March to May,No,Mumbai,Mumbai,20.5526,75.7033,188,A historic site known for its architectural beauty.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
Madhya Pradesh,Gwalior Fort,Monument,547,95981,Low,January to March,Yes,Gwalior,Gwalior,26.215,78.193,368,An ancient structure that reflects traditional craftsmanship.,Khajuraho Dance Festival,Gond Art,Folk art using dots and lines to create vibrant nature-inspired visuals.
Odisha,Konark Sun Temple,Museum,1621,937159,Medium,April to June,No,Bhubaneswar,Bhubaneswar,19.8876,86.0945,465,Famous for its intricate carvings and historical relevance.,Rath Yatra,Pattachitra,Traditional scroll painting on cloth depicting Hindu mythology.
Tamil Nadu,Brihadeeswarar Temple,Monument,1065,1955982,High,June to August,No,Chennai,Chennai,10.7828,79.1316,219,A popular tourist destination and UNESCO site.,Pongal,Tanjore Painting,"Richly colored paintings with gold foil, known for religious themes."
Madhya Pradesh,Gwalior Fort,Monument,1256,204071,Medium,August to October,No,Gwalior,Gwalior,26.215,78.193,159,A historic site known for its architectural beauty.,Khajuraho Dance Festival,Gond Art,Folk art using dots and lines to create vibrant nature-inspired visuals.
Odisha,Konark Sun Temple,Temple,682,374362,Medium,November to January,No,Bhubaneswar,Bhubaneswar,19.8876,86.0945,439,A popular tourist destination and UNESCO site.,Rath Yatra,Pattachitra,Traditional scroll painting on cloth depicting Hindu mythology.
Odisha,Konark Sun Temple,Fort,1140,1686021,High,September to November,Yes,Bhubaneswar,Bhubaneswar,19.8876,86.0945,131,A cultural landmark with centuries-old heritage.,Rath Yatra,Pattachitra,Traditional scroll painting on cloth depicting Hindu mythology.
Rajasthan,Amber Fort,Fort,1368,1362329,High,July to September,Yes,Jaipur,Jaipur,26.9855,75.85,162,A popular tourist destination and UNESCO site.,Pushkar Camel Fair,Pichwai Painting,"Intricate paintings depicting tales of Lord Krishna, usually on cloth."
Gujarat,Rani ki Vav,Museum,761,952759,Medium,August to October,No,Ahmedabad,Ahmedabad,23.8594,72.1343,78,Famous for its intricate carvings and historical relevance.,Navratri,Rogan Art,"Painted with castor oil-based paste, typically on fabric, from Kutch region."
Rajasthan,Amber Fort,Monument,1353,1092175,High,February to April,Yes,Jaipur,Jaipur,26.9855,75.85,448,A popular tourist destination and UNESCO site.,Pushkar Camel Fair,Pichwai Painting,"Intricate paintings depicting tales of Lord Krishna, usually on cloth."
Delhi,Qutub Minar,Temple,1273,1442297,High,January to March,No,New Delhi,Delhi,28.5244,77.1855,196,A popular tourist destination and UNESCO site.,Republic Day,Zardozi Embroidery,"Royal embroidery with gold and silver threads, pearls, and stones."
Madhya Pradesh,Gwalior Fort,Museum,1623,1598874,High,October to December,Yes,Gwalior,Gwalior,26.215,78.193,181,A cultural landmark with centuries-old heritage.,Khajuraho Dance Festival,Gond Art,Folk art using dots and lines to create vibrant nature-inspired visuals.
Gujarat,Rani ki Vav,Temple,906,620498,Medium,February to April,Yes,Ahmedabad,Ahmedabad,23.8594,72.1343,238,A cultural landmark with centuries-old heritage.,Navratri,Rogan Art,"Painted with castor oil-based paste, typically on fabric, from Kutch region."
West Bengal,Victoria Memorial,Monument,1281,1523839,High,April to June,Yes,Kolkata,Kolkata,22.5448,88.3426,170,Famous for its intricate carvings and historical relevance.,Durga Puja,Kalighat Painting,"Bold, expressive paintings originated in 19th-century Kolkata."
Karnataka,Mysore Palace,Fort,1767,1420238,High,December to February,No,Mysuru,Mysuru,12.3052,76.6552,342,A popular tourist destination and UNESCO site.,Dasara,Mysore Painting,Classical South Indian painting known for elegance and attention to detail.
Odisha,Konark Sun Temple,Fort,1599,603854,Medium,January to March,No,Bhubaneswar,Bhubaneswar,19.8876,86.0945,425,Famous for its intricate carvings and historical relevance.,Rath Yatra,Pattachitra,Traditional scroll painting on cloth depicting Hindu mythology.
Gujarat,Rani ki Vav,Monument,893,1090386,High,October to December,No,Ahmedabad,Ahmedabad,23.8594,72.1343,412,A historic site known for its architectural beauty.,Navratri,Rogan Art,"Painted with castor oil-based paste, typically on fabric, from Kutch region."
Tamil Nadu,Brihadeeswarar Temple,Monument,724,232906,Medium,December to February,Yes,Chennai,Chennai,10.7828,79.1316,95,A historic site known for its architectural beauty.,Pongal,Tanjore Painting,"Richly colored paintings with gold foil, known for religious themes."
Madhya Pradesh,Gwalior Fort,Temple,656,449133,Medium,February to April,Yes,Gwalior,Gwalior,26.215,78.193,147,An ancient structure that reflects traditional craftsmanship.,Khajuraho Dance Festival,Gond Art,Folk art using dots and lines to create vibrant nature-inspired visuals.
Gujarat,Rani ki Vav,Monument,1861,1365050,High,March to May,Yes,Ahmedabad,Ahmedabad,23.8594,72.1343,210,Famous for its intricate carvings and historical relevance.,Navratri,Rogan Art,"Painted with castor oil-based paste, typically on fabric, from Kutch region."
Maharashtra,Ajanta Caves,Museum,1717,578735,Medium,November to January,No,Mumbai,Mumbai,20.5526,75.7033,184,A popular tourist destination and UNESCO site.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
Tamil Nadu,Brihadeeswarar Temple,Fort,891,68708,Low,February to April,No,Chennai,Chennai,10.7828,79.1316,87,Famous for its intricate carvings and historical relevance.,Pongal,Tanjore Painting,"Richly colored paintings with gold foil, known for religious themes."
Maharashtra,Ajanta Caves,Museum,810,948022,Medium,September to November,Yes,Mumbai,Mumbai,20.5526,75.7033,371,A popular tourist destination and UNESCO site.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
Tamil Nadu,Brihadeeswarar Temple,Monument,1626,1175054,High,June to August,Yes,Chennai,Chennai,10.7828,79.1316,23,A historic site known for its architectural beauty.,Pongal,Tanjore Painting,"Richly colored paintings with gold foil, known for religious themes."
Rajasthan,Amber Fort,Fort,933,561952,Medium,September to November,Yes,Jaipur,Jaipur,26.9855,75.85,389,A cultural landmark with centuries-old heritage.,Pushkar Camel Fair,Pichwai Painting,"Intricate paintings depicting tales of Lord Krishna, usually on cloth."
Maharashtra,Ajanta Caves,Temple,1840,1385067,High,October to December,Yes,Mumbai,Mumbai,20.5526,75.7033,219,A popular tourist destination and UNESCO site.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
Karnataka,Mysore Palace,Temple,1888,1983042,High,March to May,No,Mysuru,Mysuru,12.3052,76.6552,158,Famous for its intricate carvings and historical relevance.,Dasara,Mysore Painting,Classical South Indian painting known for elegance and attention to detail.
Tamil Nadu,Brihadeeswarar Temple,Monument,724,232906,Medium,December to February,Yes,Chennai,Chennai,10.7828,79.1316,95,A historic site known for its architectural beauty.,Pongal,Tanjore Painting,"Richly colored paintings with gold foil, known for religious themes."
West Bengal,Victoria Memorial,Fort,1731,1183043,High,January to March,No,Kolkata,Kolkata,22.5448,88.3426,191,A cultural landmark with centuries-old heritage.,Durga Puja,Kalighat Painting,"Bold, expressive paintings originated in 19th-century Kolkata."
Odisha,Konark Sun Temple,Museum,1762,1040844,High,April to June,No,Bhubaneswar,Bhubaneswar,19.8876,86.0945,122,An ancient structure that reflects traditional craftsmanship.,Rath Yatra,Pattachitra,Traditional scroll painting on cloth depicting Hindu mythology.
Delhi,Qutub Minar,Temple,1452,1097037,High,August to October,Yes,New Delhi,Delhi,28.5244,77.1855,128,A cultural landmark with centuries-old heritage.,Republic Day,Zardozi Embroidery,"Royal embroidery with gold and silver threads, pearls, and stones."
Madhya Pradesh,Gwalior Fort,Temple,1352,1901678,High,April to June,No,Gwalior,Gwalior,26.215,78.193,238,A historic site known for its architectural beauty.,Khajuraho Dance Festival,Gond Art,Folk art using dots and lines to create vibrant nature-inspired visuals.
Gujarat,Rani ki Vav,Monument,505,1193128,High,July to September,No,Ahmedabad,Ahmedabad,23.8594,72.1343,275,An ancient structure that reflects traditional craftsmanship.,Navratri,Rogan Art,"Painted with castor oil-based paste, typically on fabric, from Kutch region."
Uttar Pradesh,Taj Mahal,Fort,570,1702401,High,May to July,Yes,Agra,Agra,27.1751,78.0421,22,Famous for its intricate carvings and historical relevance.,Diwali,Chikankari Embroidery,Delicate hand embroidery from Lucknow on fine fabrics.
Gujarat,Rani ki Vav,Monument,1060,593178,Medium,June to August,No,Ahmedabad,Ahmedabad,23.8594,72.1343,398,A historic site known for its architectural beauty.,Navratri,Rogan Art,"Painted with castor oil-based paste, typically on fabric, from Kutch region."
Maharashtra,Ajanta Caves,Monument,1533,1424826,High,June to August,Yes,Mumbai,Mumbai,20.5526,75.7033,429,A historic site known for its architectural beauty.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
Karnataka,Mysore Palace,Museum,1756,1485664,High,June to August,No,Mysuru,Mysuru,12.3052,76.6552,279,Famous for its intricate carvings and historical relevance.,Dasara,Mysore Painting,Classical South Indian painting known for elegance and attention to detail.
Maharashtra,Ajanta Caves,Temple,1697,244372,Medium,May to July,Yes,Mumbai,Mumbai,20.5526,75.7033,56,An ancient structure that reflects traditional craftsmanship.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
Maharashtra,Ajanta Caves,Fort,1768,824612,Medium,April to June,No,Mumbai,Mumbai,20.5526,75.7033,225,An ancient structure that reflects traditional craftsmanship.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
Gujarat,Rani ki Vav,Monument,770,1547024,High,July to September,Yes,Ahmedabad,Ahmedabad,23.8594,72.1343,267,Famous for its intricate carvings and historical relevance.,Navratri,Rogan Art,"Painted with castor oil-based paste, typically on fabric, from Kutch region."
Rajasthan,Amber Fort,Fort,564,671985,Medium,February to April,No,Jaipur,Jaipur,26.9855,75.85,4,A cultural landmark with centuries-old heritage.,Pushkar Camel Fair,Pichwai Painting,"Intricate paintings depicting tales of Lord Krishna, usually on cloth."
Maharashtra,Ajanta Caves,Temple,1020,1137807,High,September to November,No,Mumbai,Mumbai,20.5526,75.7033,377,A popular tourist destination and UNESCO site.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
Maharashtra,Ajanta Caves,Museum,849,1934651,High,August to October,Yes,Mumbai,Mumbai,20.5526,75.7033,340,A historic site known for its architectural beauty.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
Tamil Nadu,Brihadeeswarar Temple,Fort,664,158793,Medium,June to August,Yes,Chennai,Chennai,10.7828,79.1316,427,A popular tourist destination and UNESCO site.,Pongal,Tanjore Painting,"Richly colored paintings with gold foil, known for religious themes."
Karnataka,Mysore Palace,Museum,798,1735786,High,February to April,No,Mysuru,Mysuru,12.3052,76.6552,58,Famous for its intricate carvings and historical relevance.,Dasara,Mysore Painting,Classical South Indian painting known for elegance and attention to detail.
Tamil Nadu,Brihadeeswarar Temple,Temple,589,1257711,High,November to January,Yes,Chennai,Chennai,10.7828,79.1316,493,An ancient structure that reflects traditional craftsmanship.,Pongal,Tanjore Painting,"Richly colored paintings with gold foil, known for religious themes."
West Bengal,Victoria Memorial,Monument,1746,626362,Medium,October to December,Yes,Kolkata,Kolkata,22.5448,88.3426,489,Famous for its intricate carvings and historical relevance.,Durga Puja,Kalighat Painting,"Bold, expressive paintings originated in 19th-century Kolkata."
West Bengal,Victoria Memorial,Temple,854,1132642,High,July to September,No,Kolkata,Kolkata,22.5448,88.3426,175,A historic site known for its architectural beauty.,Durga Puja,Kalighat Painting,"Bold, expressive paintings originated in 19th-century Kolkata."
Gujarat,Rani ki Vav,Fort,1837,1671672,High,November to January,No,Ahmedabad,Ahmedabad,23.8594,72.1343,277,Famous for its intricate carvings and historical relevance.,Navratri,Rogan Art,"Painted with castor oil-based paste, typically on fabric, from Kutch region."
West Bengal,Victoria Memorial,Monument,1281,1523839,High,April to June,Yes,Kolkata,Kolkata,22.5448,88.3426,170,Famous for its intricate carvings and historical relevance.,Durga Puja,Kalighat Painting,"Bold, expressive paintings originated in 19th-century Kolkata."
